index,relative_path,top,directory,name,inferred_category,usage,duration_sec,size_kb,channels,sample_rate,reference_count,first_references
247,Custom\LightningTelegraph.ogg,Custom,Custom,LightningTelegraph,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：循环/开始结束/预警；主题：Lightning Telegraph。 代码标识：lightning。,2.30,34.0,2,44100,1,NPCs\StormWeaver\StormWeaverHead.cs:556 (lightning)
248,Custom\LiliesOfFinalityTileHitSound.ogg,Custom,Custom,LiliesOfFinalityTileHitSound,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：受击/命中/冲击；主题：Lilies Of Finality Tile Hit Sound。 代码标识：HitSound。,3.60,49.2,2,48000,1,Tiles\Crags\LiliesOfFinalityTile.cs:28 (HitSound)
249,Custom\LoudSwingWoosh.ogg,Custom,Custom,LoudSwingWoosh,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：近战挥击/撞击；主题：Loud Swing Woosh。 首处代码上下文：RoxcaliburProj.cs。,0.35,11.0,2,44100,3,Projectiles\Melee\RoxcaliburProj.cs:114; Projectiles\Summon\MirrorofKalandraMinions\AtzirisDisfavor.cs:81 (swing); Items\Accessories\WulfrumAcrobaticsPack.cs:532 (swing)
250,Custom\MagicalRockMine1.ogg,Custom,Custom,MagicalRockMine1,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：采掘/破碎/物块碰撞；主题：Magical Rock Mine。 代码标识：MineSound。,0.52,26.0,2,44100,1,Tiles\Ores\AerialiteOre.cs:14 (MineSound)
251,Custom\MagicalRockMine2.ogg,Custom,Custom,MagicalRockMine2,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：采掘/破碎/物块碰撞；主题：Magical Rock Mine。 代码标识：MineSound。,0.48,24.4,2,44100,1,Tiles\Ores\AerialiteOre.cs:14 (MineSound)
252,Custom\MagicalRockMine3.ogg,Custom,Custom,MagicalRockMine3,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：采掘/破碎/物块碰撞；主题：Magical Rock Mine。 代码标识：MineSound。,0.52,24.9,2,44100,1,Tiles\Ores\AerialiteOre.cs:14 (MineSound)
253,Custom\MaulerRoar.ogg,Custom,Custom,MaulerRoar,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：吼叫/语音；主题：Mauler Roar。 代码标识：RoarSound。,1.70,26.4,2,44100,1,NPCs\AcidRain\Mauler.cs:50 (RoarSound)
254,Custom\MeatySlash.ogg,Custom,Custom,MeatySlash,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：近战挥击/撞击；主题：Meaty Slash。 代码标识：MeatySlashSound。,0.94,13.6,1,44100,3,Sounds\CommonCalamitySounds.cs:24 (MeatySlashSound); Projectiles\Melee\LucreciaHoldout.cs:191 (swish); Projectiles\Ranged\SuperradiantSlaughtererHoldout.cs:82
255,Custom\MetalPipeFalling.ogg,Custom,Custom,MetalPipeFalling,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Metal Pipe Falling。 代码标识：TileCollideGFB。,2.72,46.3,2,44100,2,Projectiles\Ranged\BuzzkillSaw.cs:18 (TileCollideGFB); Projectiles\Ranged\SuperradiantSaw.cs:20 (TileCollideGFB)
256,Custom\MicrowaveBeep.ogg,Custom,Custom,MicrowaveBeep,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Microwave Beep。 代码标识：BeepSound。,0.55,11.5,2,44100,1,Items\Weapons\Melee\TheMicrowave.cs:13 (BeepSound)
257,Custom\MMMMMMMMMMMMM.ogg,Custom,Custom,MMMMMMMMMMMMM,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：MMMMMMMMMMMMM。 代码标识：MMMSound。,0.10,6.5,2,44100,1,Items\Weapons\Melee\TheMicrowave.cs:14 (MMMSound)
258,Custom\MoonLordLaserCharge.ogg,Custom,Custom,MoonLordLaserCharge,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：激光/光束；主题：Moon Lord Laser Charge。 首处代码上下文：RancorMagicCircle.cs。,2.29,25.6,1,44100,2,Projectiles\Magic\RancorMagicCircle.cs:160; NPCs\VanillaNPCAIOverrides\Bosses\MoonLordAI.cs:18 (DeathrayChargeSound)
259,Custom\MossMine.ogg,Custom,Custom,MossMine,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：采掘/破碎/物块碰撞；主题：Moss Mine。 未找到直接字符串引用，可能由资源约定、动态路径或遗留资源使用。,0.30,10.2,2,44100,0,
260,Custom\NuclearTerrorSpawn.ogg,Custom,Custom,NuclearTerrorSpawn,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：移动/生成/阶段转换；主题：Nuclear Terror Spawn。 代码标识：SpawnSound。,4.94,86.5,2,44100,1,NPCs\AcidRain\NuclearTerror.cs:83 (SpawnSound)
261,Custom\OldDukeDash.ogg,Custom,Custom,OldDukeDash,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：移动/生成/阶段转换；主题：Old Duke Dash。 代码标识：DashSound。,1.95,67.9,2,44100,1,NPCs\OldDuke\OldDuke.cs:61 (DashSound)
262,Custom\OldDukeDashP3.ogg,Custom,Custom,OldDukeDashP3,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：移动/生成/阶段转换；主题：Old Duke Dash P。 代码标识：DashSoundP3。,3.56,79.8,2,44100,1,NPCs\OldDuke\OldDuke.cs:62 (DashSoundP3)
263,Custom\OldDukeHuff.ogg,Custom,Custom,OldDukeHuff,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Old Duke Huff。 代码标识：tired。,0.58,10.6,2,44100,4,Projectiles\Ranged\FetidEmesisHoldout.cs:144 (tired); Projectiles\Summon\MutatedTruffleMinion.cs:229; NPCs\OldDuke\OldDuke.cs:57 (HuffSound); 另 1 处
264,Custom\OldDukeRoar.ogg,Custom,Custom,OldDukeRoar,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：吼叫/语音；主题：Old Duke Roar。 首处代码上下文：MutatedTruffleMinion.cs。,1.99,29.9,2,44100,2,Projectiles\Summon\MutatedTruffleMinion.cs:233; NPCs\OldDuke\OldDuke.cs:58 (RoarSound)
265,Custom\OldDukeVomit.ogg,Custom,Custom,OldDukeVomit,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Old Duke Vomit。 首处代码上下文：MutatedTruffleMinion.cs。,1.68,31.3,2,44100,2,Projectiles\Summon\MutatedTruffleMinion.cs:241; NPCs\OldDuke\OldDuke.cs:59 (VomitSound)
266,Custom\OldDukeVortex.ogg,Custom,Custom,OldDukeVortex,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Old Duke Vortex。 代码标识：SpawnSound。,2.89,45.5,2,44100,2,Projectiles\Boss\OldDukeVortex.cs:20 (SpawnSound); Projectiles\Summon\MutatedTruffleVortex.cs:61
267,Custom\OldDukeVortexSpawn.ogg,Custom,Custom,OldDukeVortexSpawn,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：移动/生成/阶段转换；主题：Old Duke Vortex Spawn。 代码标识：VortexSpawnSound。,4.98,169.3,2,44100,1,NPCs\OldDuke\OldDuke.cs:60 (VortexSpawnSound)
268,Custom\OrbHeal1.ogg,Custom,Custom,OrbHeal1,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Orb Heal。 代码标识：Spawnsound。,1.22,17.8,1,44100,3,Projectiles\Healing\BlueJellyAura.cs:23 (Spawnsound); Projectiles\Healing\GladiatorHealOrb.cs:82; Projectiles\Healing\PinkJellyAura.cs:21 (Spawnsound)
269,Custom\OrbHeal2.ogg,Custom,Custom,OrbHeal2,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Orb Heal。 首处代码上下文：GladiatorHealOrb.cs。,1.18,17.8,1,44100,1,Projectiles\Healing\GladiatorHealOrb.cs:82
270,Custom\OrbHeal3.ogg,Custom,Custom,OrbHeal3,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Orb Heal。 代码标识：Spawnsound。,1.23,18.1,1,44100,3,Projectiles\Healing\AbsorberAura.cs:26 (Spawnsound); Projectiles\Healing\GladiatorHealOrb.cs:82; Projectiles\Healing\GreenJellyAura.cs:24 (Spawnsound)
271,Custom\OrbHeal4.ogg,Custom,Custom,OrbHeal4,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Orb Heal。 首处代码上下文：GladiatorHealOrb.cs。,1.17,17.9,1,44100,1,Projectiles\Healing\GladiatorHealOrb.cs:82
272,Custom\OrbHeal5.ogg,Custom,Custom,OrbHeal5,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Orb Heal。 首处代码上下文：GladiatorHealOrb.cs。,1.18,17.6,1,44100,1,Projectiles\Healing\GladiatorHealOrb.cs:82
273,Custom\ORDER.ogg,Custom,Custom,ORDER,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：音乐/静音轨；主题：ORDER。 代码标识：ORDERTrack。,39.71,635.5,2,44100,1,Systems\Sound\ORDERSystem.cs:10 (ORDERTrack)
274,Custom\Perforator\PerfHiveIchorShoot.ogg,Custom,Custom\Perforator,PerfHiveIchorShoot,自定义/Boss/系统,Custom\Perforator 专用音效；动作：射击/发射；主题：Perf Hive Ichor Shoot。 代码标识：bigShot。,1.15,48.0,2,44100,3,Projectiles\Ranged\FetidEmesisHoldout.cs:98 (bigShot); Projectiles\Ranged\SepticSkewerHarpoon.cs:145 (pull); NPCs\Perforator\PerforatorHive.cs:38 (IchorShoot)
275,Custom\Perforator\PerfHiveShoot1.ogg,Custom,Custom\Perforator,PerfHiveShoot1,自定义/Boss/系统,Custom\Perforator 专用音效；动作：射击/发射；主题：Perf Hive Shoot。 代码标识：GeyserShoot。,0.69,30.1,2,44100,1,NPCs\Perforator\PerforatorHive.cs:37 (GeyserShoot)
276,Custom\Perforator\PerfHiveShoot2.ogg,Custom,Custom\Perforator,PerfHiveShoot2,自定义/Boss/系统,Custom\Perforator 专用音效；动作：射击/发射；主题：Perf Hive Shoot。 代码标识：GeyserShoot。,0.69,31.4,2,44100,1,NPCs\Perforator\PerforatorHive.cs:37 (GeyserShoot)
